1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,Scholastic Inc.,30-06-1998,TRUE,2
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,Scholastic Inc.,30-06-1998,TRUE,1
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,Scholastic,30-06-1998,TRUE,8
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,Scholastic Inc.,30-06-1998,TRUE,5
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,Scholastic,30-06-1998,TRUE,7
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,Nimble Books,30-06-1998,TRUE,1
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,Scholastic,30-06-1998,TRUE,7
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,Gramercy Books,30-06-1998,TRUE,2
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,Del Rey Books,30-06-1998,TRUE,2
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,Crown,30-06-1998,TRUE,8
